item_id,display_name,lr_category,lr_sub_category,count,base_value,price_current,price_industrial_town,price_industrial_city,price_market_town,price_market_city,price_religious_town,price_temple_city,has_quality_tiers,price_uncommon_current,price_uncommon_industrial_town,price_uncommon_industrial_city,price_uncommon_market_town,price_uncommon_market_city,price_uncommon_religious_town,price_uncommon_temple_city,price_rare_current,price_rare_industrial_town,price_rare_industrial_city,price_rare_market_town,price_rare_market_city,price_rare_religious_town,price_rare_temple_city,price_epic_current,price_epic_industrial_town,price_epic_industrial_city,price_epic_market_town,price_epic_market_city,price_epic_religious_town,price_epic_temple_city,price_legendary_current,price_legendary_industrial_town,price_legendary_industrial_city,price_legendary_market_town,price_legendary_market_city,price_legendary_religious_town,price_legendary_temple_city
AG001,Cabbage,agricultural_goods,Crops,64,10.0,16.0,10.4,8,17.6,18.4,17.6,19.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG002,Carrot,agricultural_goods,Crops,64,6.0,10.0,6.5,5,11,11.5,11,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG003,Cassava,agricultural_goods,Crops,64,12.0,11.0,7.15,5.5,12.1,12.65,12.1,13.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG004,Dried Cassava,agricultural_goods,Crops,64,14.0,14.0,9.1,7,15.4,16.1,15.4,16.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG005,Tree Fruits,agricultural_goods,Crops,64,8.0,14.0,9.1,7,15.4,16.1,15.4,16.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG006,Onion,agricultural_goods,Crops,64,5.0,10.0,6.5,5,11,11.5,11,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG007,Parsnip,agricultural_goods,Crops,64,5.0,9.0,5.85,4.5,9.9,10.35,9.9,10.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG008,Peanut,agricultural_goods,Crops,64,8.0,13.0,8.45,6.5,14.3,14.95,14.3,15.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG009,Pineapple,agricultural_goods,Crops,32,8.0,13.0,8.45,6.5,14.3,14.95,14.3,15.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG010,Melon,agricultural_goods,Crops,32,9.0,16.0,10.4,8,17.6,18.4,17.6,19.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG011,Pumpkin,agricultural_goods,Crops,32,8.0,17.0,11.05,8.5,18.7,19.55,18.7,20.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG012,Soybean,agricultural_goods,Crops,64,5.0,9.0,5.85,4.5,9.9,10.35,9.9,10.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG013,Turnip,agricultural_goods,Crops,64,6.0,9.0,5.85,4.5,9.9,10.35,9.9,10.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG014,Sunflower,agricultural_goods,Crops,64,5.0,8.0,5.2,4,8.8,9.2,8.8,9.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG015,Spelt / Rye,agricultural_goods,Crops,64,5.0,6.0,3.9,3,6.6,6.9,6.6,7.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG016,Amaranth,agricultural_goods,Crops,64,8.0,9.0,5.85,4.5,9.9,10.35,9.9,10.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG017,Mushrooms,agricultural_goods,Crops,64,15.0,25.0,16.25,12.5,27.5,28.75,27.5,30,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG018,Pipeleaf,agricultural_goods,Crops,32,6.0,16.0,10.4,8,17.6,18.4,17.6,19.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG019,Cocoa Pods,agricultural_goods,Crops,32,10.0,20.0,13,10,22,23,22,24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG020,Rice,agricultural_goods,Crops,64,9.0,8.0,5.2,4,8.8,9.2,8.8,9.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG021,Bamboo Shoots,agricultural_goods,Crops,64,8.0,10.0,6.5,5,11,11.5,11,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG022,Elks (Limit 10),agricultural_goods,"Animals (Alive, Caged)",1,15.0,20.0,13,10,22,23,22,24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG023,Bees (skep),agricultural_goods,"Animals (Alive, Caged)",1,6.0,10.0,6.5,5,11,11.5,11,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG024,Sheep (Limit 40),agricultural_goods,"Animals (Alive, Caged)",3,12.0,15.0,9.75,7.5,16.5,17.25,16.5,18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG025,Pigs (Limit 30),agricultural_goods,"Animals (Alive, Caged)",3,7.0,9.0,5.85,4.5,9.9,10.35,9.9,10.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG026,Chickens (Limit 40),agricultural_goods,"Animals (Alive, Caged)",3,4.0,9.0,5.85,4.5,9.9,10.35,9.9,10.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG027,Moose (Limit 3),agricultural_goods,"Animals (Alive, Caged)",1,15.0,20.0,13,10,22,23,22,24,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG028,Hare,agricultural_goods,"Animals (Alive, Caged)",1,5.0,12.0,7.8,6,13.2,13.8,13.2,14.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG029,"Medium Goats (Limit 20, Musk Ox & Takin Gold Goat)",agricultural_goods,"Animals (Alive, Caged)",3,10.0,17.0,11.05,8.5,18.7,19.55,18.7,20.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG030,"Large Goats (Limit 15, Angora goat, Alpine Ibex, Nubian Ibex, Markhor goat, Mountain goat, Nubian goat, Sirohi goat, Turdag goat, Valais goat)",agricultural_goods,"Animals (Alive, Caged)",3,13.0,17.0,11.05,8.5,18.7,19.55,18.7,20.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG031,Wolf (Limit 10),agricultural_goods,"Animals (Alive, Caged)",1,15.0,25.0,16.25,12.5,27.5,28.75,27.5,30,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG032,Elephant (Limit 3),agricultural_goods,"Animals (Alive, Caged)",1,50.0,100.0,65,50,110,115,110,120,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG033,Fish (Dead) (No Limit),agricultural_goods,"Animals (Alive, Caged)",32,8.0,45.0,29.25,22.5,49.5,51.75,49.5,54,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG034,Sun Bear (Limit 10),agricultural_goods,"Animals (Alive, Caged)",1,20.0,29.0,18.85,14.5,31.9,33.35,31.9,34.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG035,Panda Bear (Limit 10),agricultural_goods,"Animals (Alive, Caged)",1,30.0,39.0,25.35,19.5,42.9,44.85,42.9,46.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG036,Black Bear (Limit 20),agricultural_goods,"Animals (Alive, Caged)",1,40.0,45.0,29.25,22.5,49.5,51.75,49.5,54,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG037,Brown Bear (Limit 20),agricultural_goods,"Animals (Alive, Caged)",1,50.0,56.0,36.4,28,61.6,64.4,61.6,67.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG038,Polar Bear,agricultural_goods,"Animals (Alive, Caged)",1,60.0,68.0,44.2,34,74.8,78.2,74.8,81.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG039,Prepared Small Hide,agricultural_goods,Animal Goods,64,3.0,5.0,3.25,2.5,5.5,5.75,5.5,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG040,Prepared Medium Hide,agricultural_goods,Animal Goods,32,2.0,6.0,3.9,3,6.6,6.9,6.6,7.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG041,Prepared Large Hide,agricultural_goods,Animal Goods,16,3.0,8.0,5.2,4,8.8,9.2,8.8,9.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG042,Prepared Huge Hide,agricultural_goods,Animal Goods,8,6.0,14.0,9.1,7,15.4,16.1,15.4,16.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG043,Fat,agricultural_goods,Animal Goods,64,8.0,9.0,5.85,4.5,9.9,10.35,9.9,10.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG044,Logs,agricultural_goods,Wood,16,1.0,1.0,0.65,0.5,1.1,1.15,1.1,1.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG045,Planks,agricultural_goods,Wood,32,3.0,2.0,1.3,1,2.2,2.3,2.2,2.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG046,Firewood,agricultural_goods,Wood,32,4.0,4.0,2.6,2,4.4,4.6,4.4,4.8,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG047,Resin,agricultural_goods,Wood,32,5.0,5.0,3.25,2.5,5.5,5.75,5.5,6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
